9000139;3004;SUR ESPECIAL;11;BALLY;MONEY LINK;$ 2,00
9000140;3004;SUR ESPECIAL;11;BALLY;MONEY LINK;$ 2,00
9000141;3004;SUR ESPECIAL;11;BALLY;MONEY LINK;$ 2,00
9000142;3004;SUR ESPECIAL;11;BALLY;MONEY LINK;$ 2,00
9000143;3004;SUR ESPECIAL;11;BALLY;MONEY LINK;$ 2,00
9000144;3004;SUR ESPECIAL;11;BALLY;MONEY LINK;$ 2,00
9000145;3004;SUR ESPECIAL;11;BALLY;MONEY LINK;$ 2,00
9000146;3004;SUR ESPECIAL;11;BALLY;MONEY LINK;$ 2,00
9000147;3004;SUR ESPECIAL;11;BALLY;MONEY LINK;$ 2,00
9000148;3004;SUR ESPECIAL;11;BALLY;MONEY LINK;$ 2,00
8001652;3009;SUR ESPECIAL;11;ARISTOCRAT;GRAND STAR PLATINUM;1,00|2,00|5,00|10,00|100,00
8001659;3009;SUR ESPECIAL;11;ARISTOCRAT;GRAND STAR PLATINUM;1,00|2,00|5,00|10,00|100,00
8001654;3009;SUR ESPECIAL;11;ARISTOCRAT;GRAND STAR PLATINUM;1,00|2,00|5,00|10,00|100,00
8001657;3009;SUR ESPECIAL;11;ARISTOCRAT;GRAND STAR PLATINUM;1,00|2,00|5,00|10,00|100,00
8001651;3009;SUR ESPECIAL;11;ARISTOCRAT;GRAND STAR PLATINUM;1,00|2,00|5,00|10,00|100,00
8001653;3009;SUR ESPECIAL;11;ARISTOCRAT;GRAND STAR PLATINUM;1,00|2,00|5,00|10,00|100,00
8001655;3009;SUR ESPECIAL;11;ARISTOCRAT;GRAND STAR PLATINUM;1,00|2,00|5,00|10,00|100,00
8001656;3009;SUR ESPECIAL;11;ARISTOCRAT;GRAND STAR PLATINUM;1,00|2,00|5,00|10,00|100,00
8001658;3009;SUR ESPECIAL;11;ARISTOCRAT;GRAND STAR PLATINUM;1,00|2,00|5,00|10,00|100,00
8001660;3009;SUR ESPECIAL;11;ARISTOCRAT;GRAND STAR PLATINUM;1,00|2,00|5,00|10,00|100,00
9001027;3010;SUR ESPECIAL;11;NOVOMATIC;GRAND EAGLE;2,00|5,00|10,00|20,00
9001029;3010;SUR ESPECIAL;11;NOVOMATIC;GRAND EAGLE;2,00|5,00|10,00|20,00
9001031;3010;SUR ESPECIAL;11;NOVOMATIC;GRAND EAGLE;2,00|5,00|10,00|20,00
9001033;3010;SUR ESPECIAL;11;NOVOMATIC;GRAND EAGLE;2,00|5,00|10,00|20,00
9001030;3010;SUR ESPECIAL;11;NOVOMATIC;GRAND EAGLE;2,00|5,00|10,00|20,00
9001032;3010;SUR ESPECIAL;11;NOVOMATIC;GRAND EAGLE;2,00|5,00|10,00|20,00
9001034;3010;SUR ESPECIAL;11;NOVOMATIC;GRAND EAGLE;2,00|5,00|10,00|20,00
9001028;3010;SUR ESPECIAL;11;NOVOMATIC;GRAND EAGLE;2,00|5,00|10,00|20,00
8002414;3044;SUR ESPECIAL;11;AINSWORTH;GRAN FORTUNE WILD WINS;1,00|2,00|5,00|10,00|100,00
8002418;3044;SUR ESPECIAL;11;AINSWORTH;GRAN FORTUNE WILD WINS;1,00|2,00|5,00|10,00|100,00
8002411;3044;SUR ESPECIAL;11;AINSWORTH;GRAN FORTUNE WILD WINS;1,00|2,00|5,00|10,00|100,00
8002415;3044;SUR ESPECIAL;11;AINSWORTH;GRAN FORTUNE WILD WINS;1,00|2,00|5,00|10,00|100,00
8002412;3044;SUR ESPECIAL;11;AINSWORTH;GRAN FORTUNE WILD WINS;1,00|2,00|5,00|10,00|100,00
8002416;3044;SUR ESPECIAL;11;AINSWORTH;GRAN FORTUNE WILD WINS;1,00|2,00|5,00|10,00|100,00
8002413;3044;SUR ESPECIAL;11;AINSWORTH;GRAN FORTUNE WILD WINS;1,00|2,00|5,00|10,00|100,00
8002417;3044;SUR ESPECIAL;11;AINSWORTH;GRAN FORTUNE WILD WINS;1,00|2,00|5,00|10,00|100,00
9001152;3046;SUR ESPECIAL;11;AINSWORTH;XTENSION LINK;2,00|5,00|10,00
9001146;3046;SUR ESPECIAL;11;AINSWORTH;XTENSION LINK;2,00|5,00|10,00
9001147;3046;SUR ESPECIAL;11;AINSWORTH;XTENSION LINK;2,00|5,00|10,00
9001148;3046;SUR ESPECIAL;11;AINSWORTH;XTENSION LINK;2,00|5,00|10,00
9001149;3046;SUR ESPECIAL;11;AINSWORTH;XTENSION LINK;2,00|5,00|10,00
9001150;3046;SUR ESPECIAL;11;AINSWORTH;XTENSION LINK;2,00|5,00|10,00
9001151;3046;SUR ESPECIAL;11;AINSWORTH;XTENSION LINK;2,00|5,00|10,00
9001145;3046;SUR ESPECIAL;11;AINSWORTH;XTENSION LINK;2,00|5,00|10,00
8002081;3050;SUR ESPECIAL;11;BALLY;JIN JI BAO XI - ENDLESS TREASURE;1,00|2,00|5,00|10,00
